French Name,scientific_name,ABBR,class
Bécasseau roussâtre,Calidris subruficollis,BBSA,1.0
Bécasseau à poitrine cendrée,Calidris melanotos,PESA,1.0
Bécasseau semipalmé,Calidris pusilla,SESA,1.0
Bécasseau d'Alaska,Calidris mauri,WESA,1.0
Bécassin roux,Limnodromus griseus,SBDO,1.0
Bécassin à long bec,Limnodromus scolopaceus,LBDO,1.0
Bécasse d'Amérique,Scolopax minor,AMWO,1.0
Bécassine de Wilson,Gallinago delicata,WISN,1.0
Chevalier grivelé,Actitis macularius,SPSA,1.0
Chevalier solitaire,Tringa solitaria,SOSA,1.0
Chevalier errant,Tringa incana,WATA,1.0
Petit Chevalier,Tringa flavipes,LEYE,1.0
Chevalier semipalmé,Tringa semipalmata,WILL,1.0
Grand Chevalier,Tringa melanoleuca,GRYE,1.0
Chevalier sylvain,Tringa glareola,WOSA,2.0
Phalarope de Wilson,Phalaropus tricolor,WIPH,1.0
Phalarope à bec étroit,Phalaropus lobatus,RNPH,1.0
Phalarope à bec large,Phalaropus fulicarius,REPH,1.0
Labbe de McCormick,Stercorarius maccormicki,SPSK,2.0
Labbe pomarin,Stercorarius pomarinus,POJA,1.0
Labbe parasite,Stercorarius parasiticus,PAJA,1.0
Labbe à longue queue,Stercorarius longicaudus,LTJA,1.0
Mergule nain,Alle alle,DOVE,2.0
Guillemot marmette,Uria aalge,COMU,1.0
Guillemot de Brünnich,Uria lomvia,TBMU,1.0
Petit Pingouin,Alca torda,RAZO,1.0
Guillemot à miroir,Cepphus grylle,BLGU,1.0
Guillemot colombin,Cepphus columba,PIGU,1.0
Guillemot marbré,Brachyramphus marmoratus,MAMU,1.0
Guillemot de Scripps,Synthliboramphus scrippsi,SCMU,2.0
Guillemot à cou blanc,Synthliboramphus antiquus,ANMU,2.0
Starique de Cassin,Ptychoramphus aleuticus,CAAU,1.0
Starique perroquet,Aethia psittacula,PAAU,2.0
Starique cristatelle,Aethia cristatella,CRAU,2.0
Macareux rhinocéros,Cerorhinca monocerata,RHAU,1.0
Macareux moine,Fratercula arctica,ATPU,1.0
Macareux cornu,Fratercula corniculata,HOPU,1.0
Macareux huppé,Fratercula cirrhata,TUPU,1.0
Mouette tridactyle,Rissa tridactyla,BLKI,1.0
Mouette des brumes,Rissa brevirostris,RLKI,2.0
Mouette de Sabine,Xema sabini,SAGU,1.0
Mouette de Bonaparte,Chroicocephalus philadelphia,BOGU,1.0
Mouette rieuse,Chroicocephalus ridibundus,BHGU,2.0
Mouette pygmée,Hydrocoloeus minutus,LIGU,2.0
Mouette atricille,Leucophaeus atricilla,LAGU,1.0
Mouette de Franklin,Leucophaeus pipixcan,FRGU,1.0
Goéland de Heermann,Larus heermanni,HEEG,1.0
Goéland cendré,Larus canus,MEGU,1.0
Goéland à bec cerclé,Larus delawarensis,RBGU,1.0
Goéland d'Audubon,Larus occidentalis,WEGU,1.0
Goéland de Californie,Larus californicus,CAGU,1.0
Goéland argenté,Larus argentatus,HERG,1.0
Goéland arctique,Larus glaucoides,ICGU,1.0
Goéland brun,Larus fuscus,LBBG,2.0
Goéland à ailes grises,Larus glaucescens,GWGU,1.0
Goéland bourgmestre,Larus hyperboreus,GLGU,1.0
Goéland marin,Larus marinus,GBBG,1.0
Noddi brun,Anous stolidus,BRNO,2.0
Noddi noir,Anous minutus,BLNO,2.0
Sterne fuligineuse,Onychoprion fuscatus,SOTE,2.0
Sterne bridée,Onychoprion anaethetus,BRTE,2.0
Petite Sterne,Sternula antillarum,LETE,1.0
Sterne hansel,Gelochelidon nilotica,GBTE,1.0
Sterne caspienne,Hydroprogne caspia,CATE,1.0
Guifette noire,Chlidonias niger,BLTE,1.0
Sterne de Dougall,Sterna dougallii,ROST,2.0
Sterne pierregarin,Sterna hirundo,COTE,1.0
Sterne arctique,Sterna paradisaea,ARTE,1.0
Sterne de Forster,Sterna forsteri,FOTE,1.0
Sterne royale,Thalasseus maximus,ROYT,1.0
Sterne caugek,Thalasseus sandvicensis,SATE,1.0
Sterne élégante,Thalasseus elegans,ELTE,1.0
Bec-en-ciseaux noir,Rynchops niger,BLSK,1.0
Phaéton à bec jaune,Phaethon lepturus,WTTR,2.0
Plongeon catmarin,Gavia stellata,RTLO,1.0
Plongeon arctique,Gavia arctica,ARLO,2.0
Plongeon du Pacifique,Gavia pacifica,PALO,1.0
Plongeon huard,Gavia immer,COLO,1.0
Plongeon à bec blanc,Gavia adamsii,YBLO,2.0
Albatros de Laysan,Phoebastria immutabilis,LAAL,2.0
Albatros à pieds noirs,Phoebastria nigripes,BFAL,1.0
Océanite de Wilson,Oceanites oceanicus,WISP,1.0
Fulmar boréal,Fulmarus glacialis,NOFU,1.0
Pétrel maculé,Pterodroma inexpectata,MOPE,2.0
Pétrel diablotin,Pterodroma hasitata,BCPE,2.0
Puffin cendré,Calonectris diomedea,CORS,1.0
Puffin fouquet,Ardenna pacifica,WTSH,2.0
Puffin de Buller,Ardenna bulleri,BULS,2.0
Puffin à bec grêle,Ardenna tenuirostris,STTS,2.0
